Perpetrator	Date	Year	Location	Country	Killed	Injured
Woo Bum-Kon , 27	04.26 April 26/27	1982	Uiryeong	South Korea	56	34–37
Feng Wanhai, 26 Jiang Liming, 22	11.18 Nov. 18	1995	Zhaodong	China	32	16
Toi, Mutsuo , 21	05.21 May 21	1938	Kaio	Japan	30	03 3
Tian Mingjian , 31	09.20 Sep. 20	1994	Beijing	China	23	30–80
Michael Zhu	04.00 April	1950	Nainital	India	22	0.0 ?
Rz	06.32	1939.9	Cz	Cz	100.9	100.9
Unknown	04.01 April 1	1978	Dong Doc	Laos	16	60
Bales, Robert , 38	03.11 March 11	2012	Najeeban & Alkozai	Afghanistan	16	6
Yuan Daizhong, 41	11.18 Nov. 18	2004	Yueyang & Xima	China	15	28
Harphul Singh	07.23 July 23	1930	Tohana	India	15	0.0 ?
Ramesh Sharma , 28	07.23 July 23	1983	Mandsaur	India	14	09 9
Tz	08.32	1999.9	Lz	Iz	100.9	100.9
Hu Wenhai, 46 Liu Haiwang, 40	10.26 Oct. 26	2001	Dayukou	China	14	03 3
Unknown Soldier	06.14 June 14	1912	Guangzhou	China	14	02.1 2+
Unknown	08.00 Aug.	1938	Bhatinda	India	12	08 8
Shi Yuejun , 35	09.24 Sep. 24–29	2006	Liuhe & Tonghua county	China	12	05 5
Duong Van Mon, 35	08.08 Aug. 8	1998	Đắk Lắk Province	Vietnam	12	02.6 2–6
