Surname	First	D.O.B.	Uni#	Bats	Throws	Position
ATHERTON	Tim	07.11.89	7	R	R	RHP
BEARD	Hayden	22.01.85	6	R	R	RHP
BERESFORD	James	19.01.89	31	L	R	INF
COLLINS	Michael	18.07.84	18	R	R	C / 1B
DAVIES	Joshua	15.10.82	4	R	R	INF
DENNING	Mitchell	17.08.88	17	R	R	UTILITY
DLOUGHY	Gavin	19.06.88	20	R	R	RHP
ELLIS	Thomas	23.02.88	22	R	R	RHP
HARDY	Cameron	05.04.78	36	R	R	RHP
KENT	Steven	08.05.89	35	L	L	LHP
KIMPTON	Nicholas	27.10.83	10	L	L	OF
LENNOX	Michael	28.8.89	23	R	R	UTILITY
MAAT	Patrick	15.09.87	21	R	R	C / 1B
NAYLOR	Clinton	03.08.88	27	L	R	C
PAEWAI	Riki	28.3.86	11	R	R	RHP
PENDER	Shannon	26.07.86	24	R	R	UTILITY
POSPISHIL	Jason	28.01.83	5	L	R	INF
TABRETT	Shaun	02.03.88	9	R	R	RHP
TIMMS	Matthew	10.01.87	28	R	R	RHP
VINCENT	Tom	03.03.82	14	L	R	OF
WILSON	Brendan	07.10.85	25	R	R	RHP
