Perpetrator	Date	Year	Location	Country	Killed	Injured
Delgado Morales, Campo Elias , 52	12.04 Dec. 4	1986	Bogotá	Colombia	29	12
Hennard, George Pierre , 35	10.16 Oct. 16	1991	Killeen , TX	USA	23	19–22
Huberty, James Oliver , 41	07.18 July 18	1984	San Diego , CA	USA	21	19
Ferreira de França, Genildo , 27	05.21 May 21/22	1997	Santo Antônio dos Barreiros	Brazil	14	03 3
Wong, Jiverly Antares , 41	04.03 April 3	2009	Binghamton , NY	USA	13	04 4
Hz	05.32	1959.9	Jz	Bz	100.9	100.9
Unruh, Howard Barton , 28	09.06 Sep. 6	1949	Camden , NJ	USA	13	03 3
Holmes, James Eagan , 24 (suspect)	07.20 July 20	2012	Aurora , CO	USA	12	62
Pough, James Edward , 42	06.17 June 17/18	1990	Jacksonville , FL	USA	11	06 6
Lozano Velásquez, Juan de Jesús, 26	06.24 June 24	2000	Bogotá	Colombia	11	05 5
Caceres, Gregorio, 50	02.18 Feb. 18	1942	Trujillo	Venezuela	11	04 4
Pz	08.32	1994.9	Rz	Mz	100.9	100.9
Flores, Oscar, 23	07.31 July 31	2005	San Jerónimo de Juárez	Mexico	11	02 2
Unknown	12.18? Dec. 18	1936	Monte Aprazível	Brazil	10–16	0.0 ?
McLendon, Michael Kenneth , 28	03.10 March 10	2009	Kinston , Samson & Geneva , AL	USA	10	06 6
Starkweather, Charles , 19 Fugate, Caril Ann , 14	01.21 Jan. 21–29	1958	Lincoln & Bennet , NE Douglas , WY	USA	10	0.1 0
Malagón González, Arnoldo, 22	06.01 June 1	1993	Soacha	Colombia	10	0.0 ?
