Surname	First	D.O.B.	Uni#	Bats	Throws	Position
BENNETT	Matthew	19/10/81	1	L	L	LHP
FINGLESON	Gavin	5/08/76	4	S	R	IF
BLIGHT	Adam	24/02/80	6	R	R	INF
ANDERSON	Craig	30/10/80	7	L	L	LHP
FRANCIS	Aidan	19/04/88	8	R	L	LHP
ROSSER	David	14/12/69	9	R	R	RHP
KRAJANCIC	Anthony	31/05/79	10	R	R	C
HOLLAND	Mark	17/08/81	12	R	R	IF
GRATTAN	Todd	7/09/86	14	R	R	RHP
LYSAUGHT	Michael	30/09/85	16	R	R	UTY
DEAN	Joshua	24/12/86	17	L	L	IF
WILLIAMS	Glenn	16/07/77	18	S	R	IF
WILLIAMS	Matthew	28/02/87	19	R	R	RHP
KINGMAN	Brendan	22/05/73	22	R	R	IF
GRAHAM	Andrew	22/04/82	24	R	R	C
COOK	Andrew	17/02/81	26	L	L	LHP
OELTJEN	Trent	28/02/83	27	L	L	OF
HARRIS	Vaughan	10/06/81	32	R	R	RHP
AUTY	Timothy	21/12/85	33	R	R	OF
D’ANTONIO	Trent	14/08/85	36	L	R	UTY
THOMPSON	Richard	1/07/84	41	R	R	RHP
