Name	Pos.	Height	Weight	Date of Birth	Club
Georgia Ellinaki	GK	m (ft 9in)	kg (lb)	1974-02-28	ANC Glyfada
Dimitra Asilian	D	m (ft 7in)	kg (lb)	1972-07-10	Olympiakos Piraeus
Aniopi Melidoni	CB	m (ft 7in)	kg (lb)	1977-10-11	NC Vouliagmeni
Angeliki Karapataki	D	m (ft 7in)	kg (lb)	1975-02-19	ANC Glyfada
Kyriaki Liosi	D	m (ft 7in)	kg (lb)	1979-10-30	ANC Glyfada
Stavroula Kozompoli	CF	m (ft 11in)	kg (lb)	1974-01-14	ANC Glyfada
Aikaterini Oikonomopoulou	CB	m (ft 11in)	kg (lb)	1978-02-16	ANC Glyfada
Antigoni Roumpesi	D	m (ft 10in)	kg (lb)	1983-07-19	NC Vouliagmeni
Evangelia Moraitidou	CB	m (ft 0in)	kg (lb)	1975-03-26	NC Vouliagmeni
Eftychia Karagianni	D	m (ft 6in)	kg (lb)	1973-10-10	ANC Glyfada
Georgia Lara	CF	m (ft 9in)	kg (lb)	1980-05-31	NC Vouliagmeni
Antonia Moraiti	D	m (ft 5in)	kg (lb)	1977-05-02	ANC Glyfada
Anthoula Mylonaki	GK	m (ft 10in)	kg (lb)	1984-06-10	NC Vouliagmeni
Head Coach: Kyriakos Iosifidis	Head Coach: Kyriakos Iosifidis	Head Coach: Kyriakos Iosifidis	Head Coach: Kyriakos Iosifidis	Head Coach: Kyriakos Iosifidis	Head Coach: Kyriakos Iosifidis
