Name	Pos.	Height	Weight	Date of Birth	Club
Emma Knox	GK	m (ft 8in)	kg (lb)	1978-03-02	UWA Comets
Rebecca Rippon	D	m (ft 5in)	kg (lb)	1978-12-26	Balmain Tigers
Nikita Cuffe	CF	m (ft 10in)	kg (lb)	1979-09-26	KFC Breakers
Naomi Castle	CB	m (ft 11in)	kg (lb)	1974-05-29	KFC Breakers
Bronwyn Smith	D	m (ft 9in)	kg (lb)	1974-07-03	KFC Breakers
Belinda Brooks	CB	m (ft 9in)	kg (lb)	1977-02-03	Fremantle Marlins
Jodie Stuhmcke	CF	m (ft 11in)	kg (lb)	1980-11-21	KFC Breakers
Kate Gynther	D	m (ft 9in)	kg (lb)	1982-07-05	Brisbane Barracudas
Elise Norwood	D	m (ft 8in)	kg (lb)	1981-06-18	Sydney University Lions
Kelly Heuchan	D	m (ft 9in)	kg (lb)	1980-01-30	Fremantle Marlins
Jemma Brownlow	GK	m (ft 6in)	kg (lb)	1979-11-14	Balmain Tigers
Joanne Fox	CB	m (ft 0in)	kg (lb)	1979-06-12	Balmain Tigers
Melissa Rippon	D	m (ft 7in)	kg (lb)	1981-01-20	Brisbane Barracudas
Head Coach: Istvan Gorgenyi	Head Coach: Istvan Gorgenyi	Head Coach: Istvan Gorgenyi	Head Coach: Istvan Gorgenyi	Head Coach: Istvan Gorgenyi	Head Coach: Istvan Gorgenyi
