Surname	First	D.O.B.	Uni#	Bats	Throws	Position
BRICE	Tom	24/08/81	5	L	L	OF
FIEBIG	Tom	24/03/89	8	R	R	RHP
WELCH	Stefan	12/08/88	11	L	R	INF
FIDGE	Darren	12/11/74	14	R	R	RHP
REDDEN	Daniel	16/02/84	15	R	R	RHP
ELDRIDGE	Lachlan	13/05/86	16	L	L	LHP
CAKEBREAD	Josh	25/01/85	17	L	R	INF
TALBOT	Nick	16/03/87	18	R	R	OF
ZIERSCH	Jay	3/10/80	19	R	R	RHP
WILSON	Dan	5/07/84	20	L	R	OF
WILLIAMS	Torey	12/05/84	21	R	R	C
MILDREN	Paul	3/05/84	22	R	L	LHP
LANGMAN	Todd	11/10/81	24	R	R	OF
TAINTY	Marc	7/02/78	25	L	L	OF
MERRILL	Taj	11/12/73	27	L	L	LHP
HILTERBRAND	Ben	22/08/81	28	R	R	INF
CRESWELL	Jeremy	31/03/87	29	R	R	INF
DUNN	Matthew	30/04/77	30	R	R	INF
LAWSON	Chris	31/05/82	34	R	R	RHP
WIGMORE	Ben	17/01/82	37	R	R	C
RUZIC	Dushan	5/01/82	99	R	R	RHP
